,iata_code,name
12836,GJR,Gjögur Airport
12837,GRY,Grímsey Airport
12841,HVK,Hólmavík Airport
12843,HFN,Hornafjörður Airport
12846,FLI,Holt Airport
12847,HZK,Húsavík Airport
12848,HVM,Krókstaðarmelar Airport
12852,HLO,Ingjaldssanður Airport
12853,IFJ,Ísafjörður Airport
12854,BIJ,Biliau Airport
12857,KEF,Keflavik International Airport
12860,OPA,Kópasker Airport
12861,SAK,Sauðárkrókur Airport
12867,NOR,Norðfjörður Airport
12868,OFJ,Ólafsfjörður Airport
12869,PFJ,Patreksfjörður Airport
12870,RHA,Reykhólar Airport
12871,OLI,Rif Airport
12872,RFN,Raufarhöfn Airport
12873,RKV,Reykjavik Airport
12874,MVA,Reykjahlíð Airport
12880,SIJ,Siglufjörður Airport
12886,SYK,Stykkishólmur Airport
12888,TEY,Þingeyri Airport
12892,THO,Þórshöfn Airport
12897,VEY,Vestmannaeyjar Airport
12898,VPN,Vopnafjörður Airport
12899,BIZ,Bimin Airport
12901,BJE,Baleela Airport
12902,BJQ,Bahja Airport
12903,BJT,Bentota River Waterdrome
12904,PRN,Priština Adem Jashari International Airport
12911,BMH,Bomai Airport
12912,BMQ,Bamburi Airport
12913,BMZ,Bamu Airport
12927,BNF,Baranof Warm Springs Float and Seaplane Base
12928,BNM,Bodinumu Airport
12929,BNQ,Baganga airport
12930,BNT,Bundi Airport
12931,BNV,Boana Airport
12932,BNZ,Banz Airport
12933,RBQ,Rurenabaque Airport
12947,BVL,Baures Airport
12949,BOF,Bolling Air Force Base
12950,BOK,Brookings Airport
12952,BOQ,Boku Airport
12953,BOT,Bosset Airport
12954,BOV,Boang Airport
12955,BPF,Batuna Aerodrome
12957,BQV,Bartlett Cove Seaplane Base
12972,TUZ,Tucumã Airport
13526,VDC,Glauber de Andrade Rocha Airport
14567,ALT,Alenquer Airport
14568,SWM,Suia-Missu Airport
14569,BRG,Whitesburg Municipal Airport
14583,NSB,Bimini North Seaplane Base
14585,BSP,Bensbach Airport
14586,BSV,Besakoa Airport
14592,BUL,Bulolo Airport
14594,BVP,Bolovip Airstrip
14595,BVR,Esperadinha Airport
14654,HUK,Hukuntsi Airport
14655,BWJ,Bawan Airport
14656,BWP,Bewani Airport
